vendor_id,shipto_id,charge_account_id
3533,514,10171.9999.99999.141000.99999.999999
18254,508,30450.9999.99999.210006.99999.999999
3003,517,30491.4570.99999.451200.99999.999999
359587,506,30431.9999.99999.210006.99999.999999
5891,514,10014.4520.99999.451100.99999.999999
5613,526,10143.9999.99999.141000.99999.999999
11636,514,10178.6110.99999.440100.99999.999999
14710,514,10188.9999.99999.141000.99999.999999
30437,526,10143.9999.99999.141000.99999.999999
31221,510,30447.6110.99999.491200.99999.999999
2003,517,10011.4570.99999.432700.99999.999999
53012,507,30442.9999.99999.331001.99999.999999
4032,517,10131.9999.99999.141000.99999.999999
3139,526,10241.9999.99999.141000.99999.999999
3598,526,10260.9999.99999.141000.99999.999999
22789,509,10015.9999.99999.143003.99999.999999
31446,506,30436.9999.99999.210006.99999.999999
23018,516,10015.4570.99999.440300.99999.999999
3139,526,10404.9999.99999.331261.99999.999999
2614,526,10170.9999.99999.331261.99999.999999
25441,526,10159.9999.99999.141000.99999.999999
4297,526,10159.9999.99999.141000.99999.999999
43528,508,10015.9999.99999.143003.99999.999999
3357,515,10001.6210.P0700.435800.99999.999999
3712,514,10143.6110.99999.440100.99999.999999
5891,526,10007.4760.99999.451200.99999.999999
30437,526,10152.9999.99999.141000.99999.999999
29454,514,30435.6110.99999.435700.99999.999999
23876,516,10177.6110.99999.451210.99999.999999
35736,514,30443.6110.99999.451100.99999.999999
2148,526,10186.6110.99999.440400.99999.999999
474590,516,30442.9999.99999.331001.99999.999999
14742,526,10001.9999.99999.157001.99999.999999
27021,507,10181.6110.99999.494300.99999.999999
476590,4,10011.9999.99999.143013.99999.999999
29707,507,30442.9999.99999.210006.99999.999999
4690,526,10001.9999.99999.182000.99999.999999
33350,526,10223.6110.99999.451211.99999.999999
1688,526,10011.4570.99999.451700.99999.999999
33350,526,10158.6110.99999.451313.99999.999999
22544,526,10012.9999.99999.331250.99999.999999
426633,514,30490.4520.99999.451200.99999.999999
30433,515,30431.9999.99999.210006.99999.999999
156578,526,10129.9999.99999.141000.99999.999999
260590,509,30440.9999.99999.210006.99999.999999
4884,515,10183.6120.35700.483900.99999.999999
506,517,10181.6110.99999.440400.99999.999999
19657,526,10012.9999.99999.143004.99999.999999
3533,526,10156.9999.99999.141000.99999.999999
8608,3,10008.5030.99999.491600.99999.999999
30989,506,30455.9999.99999.210006.99999.999999
959,526,10014.9999.99999.143003.99999.999999
44957,526,10265.6110.99999.433200.99999.999999
30316,514,30490.4520.99999.430400.99999.999999
5098,506,10137.9999.99999.141000.99999.999999
68440,3,10001.8280.99999.432000.99999.999999
15911,514,10012.4570.99999.432700.99999.999999
359587,507,30436.6110.99999.482700.99999.999999
3686,514,30430.9999.99999.210303.99999.999999
33350,526,10170.6110.99999.451313.99999.999999
3357,509,10001.6620.B2300.483900.99999.999999
67902,506,30455.9999.99999.210006.99999.999999
3357,526,20030.6210.R0100.435400.99999.999999
40504,508,10139.6110.99999.440400.99999.999999
44329,516,30492.4570.99999.451200.99999.999999
32846,514,30430.9999.99999.210305.99999.999999
10532,514,30490.4490.99999.451252.99999.999999
1009,508,10227.9999.99999.331261.99999.999999
1009,4,10227.9999.99999.331261.99999.999999
4032,517,10173.9999.99999.141000.99999.999999
29731,516,30431.6110.99999.432120.99999.999999
28477,514,10250.6110.99999.451210.99999.999999
3296,517,10172.6110.99999.440100.99999.999999
39782,1,10015.9999.99999.143004.99999.999999
3357,515,10001.6210.P2000.435800.99999.999999
6371,526,10406.9999.99999.182000.99999.999999
2082,513,10260.9999.99999.331261.99999.999999
21373,517,10167.6110.99999.432000.99999.999999
29633,516,30492.4570.99999.451200.99999.999999
68440,526,10001.8280.99999.432000.99999.999999
26730,514,30437.6110.99999.432700.99999.999999
33350,514,10172.6110.99999.451303.99999.999999
44175,512,30491.4440.99999.490800.99999.999999
3822,5,20495.4340.99999.477200.99999.999999
771,516,10224.9999.99999.141000.99999.999999
30960,514,30490.4490.99999.451223.99999.999999
3686,516,30435.9999.99999.210006.99999.999999
474590,514,30442.9999.99999.331001.99999.999999
3940,526,10001.6050.99999.432700.99999.999999
28022,516,30492.4570.99999.451100.99999.999999
2614,3,10139.9999.99999.331261.99999.999999
32846,514,30441.9999.99999.210006.99999.999999
2214,516,10186.9999.99999.331261.99999.999999
67384,514,30490.4520.99999.451100.99999.999999
3139,526,10260.9999.99999.331261.99999.999999
2034,509,10144.6110.99999.431800.99999.999999
47111,517,10101.9999.99999.210303.99999.999999
38533,514,10152.9999.99999.141000.99999.999999
3533,526,10125.9999.99999.331261.99999.999999
28715,514,30430.6040.99999.430900.99999.999999
54910,3,10146.9999.99999.141000.99999.999999
9804,514,10189.9999.99999.141000.99999.999999
31212,514,30437.9999.99999.210006.99999.999999
31194,514,10171.6110.99999.432700.99999.999999
41660,514,30491.4440.99999.490800.99999.999999
2625,517,10157.9999.99999.331261.99999.999999
26821,526,10137.9999.99999.331261.99999.999999
2398,526,10008.4570.99999.451100.99999.999999
1685,526,10150.6110.99999.440200.99999.999999
476581,516,30431.9999.99999.210006.99999.999999
21085,1,10015.4520.99999.451700.99999.999999
3533,526,10197.9999.99999.141000.99999.999999
30117,508,30450.9999.99999.210006.99999.999999
39782,514,30491.9999.99999.143008.99999.999999
9062,5,10183.6110.99999.410300.99999.999999
3357,3,10001.6210.P0900.435900.99999.999999
27994,514,30491.4570.99999.430400.99999.999999
43751,3,10101.6080.99999.432000.99999.999999
31194,526,10166.6110.99999.432700.99999.999999
27353,517,10407.9999.99999.141000.99999.999999
22329,514,30435.9999.99999.331261.99999.999999
1003,514,30433.6110.99999.432300.99999.999999
891584,526,10264.6110.99999.491200.99999.999999
19657,2,10014.9999.99999.331250.99999.999999
29942,509,30440.9999.99999.210006.99999.999999
5711,509,10159.9999.99999.141000.99999.999999
3533,514,10179.9999.99999.141000.99999.999999
285582,508,10008.9999.99999.143000.99999.999999
389,3,10008.9999.99999.143000.99999.999999
11491,516,10015.4570.99999.432800.99999.999999
6714,510,10101.6040.99999.431700.99999.999999
2721,517,10229.9999.99999.141000.99999.999999
17360,514,10194.9999.99999.141000.99999.999999
2003,526,10005.4540.99999.432700.99999.999999
27353,526,10244.9999.99999.141000.99999.999999
2584,1,10174.9999.99999.141000.99999.999999
11267,514,10166.6120.84100.483900.99999.999999
474590,516,30436.9999.99999.331261.99999.999999
23629,517,10011.9999.99999.143008.99999.999999
52929,515,10015.4570.99999.432100.99999.999999
30939,514,30446.9999.99999.210006.99999.999999
5143,526,10252.9999.99999.331261.99999.999999
63182,509,10014.5030.99999.491600.99999.999999
33350,509,10169.6110.99999.451211.99999.999999
1984,509,10181.9999.99999.141000.99999.999999
33350,509,10159.6110.99999.451303.99999.999999
3357,516,10252.6120.15900.483900.99999.999999
5760,526,10001.9999.99999.157001.99999.999999
2003,507,10011.4570.99999.432700.99999.999999
5539,507,10150.9999.99999.141000.99999.999999
3533,3,10407.9999.99999.141000.99999.999999
59886,509,10150.6120.41300.483900.99999.999999
33350,516,10147.6110.99999.451211.99999.999999
32846,514,30448.9999.99999.210006.99999.999999
11491,514,10015.4600.99999.432200.99999.999999
5893,4,10154.6110.99999.440100.99999.999999
3533,514,30447.9999.99999.331261.99999.999999
1351,514,10154.9999.99999.331261.99999.999999
2721,517,10170.9999.99999.141000.99999.999999
5722,507,10011.4570.99999.431800.99999.999999
55730,3,10005.9999.99999.331250.99999.999999
210,526,10005.9999.99999.331250.99999.999999
271582,517,10008.9999.99999.143000.99999.999999
4890,4,10406.9999.99999.141000.99999.999999
5179,508,10193.9999.99999.331261.99999.999999
4262,526,10154.9999.99999.141000.99999.999999
6371,514,10143.6110.99999.432000.99999.999999
1605,514,30491.9999.99999.331011.99999.999999
18979,506,10256.9999.99999.141000.99999.999999
17360,507,30455.9999.99999.210006.99999.999999
17360,514,30452.9999.99999.210006.99999.999999
771,507,10162.9999.99999.331001.99999.999999
31446,507,30434.9999.99999.210006.99999.999999
1009,5,10161.9999.99999.141000.99999.999999
28094,515,30438.6110.99999.432400.99999.999999
476590,510,10012.9999.99999.143013.99999.999999
30437,526,10148.9999.99999.141000.99999.999999
30686,514,30435.9999.99999.210006.99999.999999
4683,526,10146.6110.99999.451312.99999.999999
33350,3,10167.6110.99999.451303.99999.999999
14916,526,10180.6110.99999.410300.99999.999999
31212,510,30447.9999.99999.210006.99999.999999
52328,3,10008.9999.99999.143000.99999.999999
13439,507,10011.4570.99999.451700.99999.999999
28840,514,30450.9999.99999.331261.99999.999999
4423,508,10182.6110.99999.440100.99999.999999
5125,526,10224.9999.99999.141000.99999.999999
19657,1,10015.9999.99999.143004.99999.999999
1492,526,10001.6270.99999.435400.99999.999999
2003,526,10167.6110.99999.432120.99999.999999
9486,526,10234.9999.99999.141000.99999.999999
6100,4,10011.4570.99999.432700.99999.999999
3306,514,10251.9999.99999.141000.99999.999999
4890,4,10262.9999.99999.141000.99999.999999
49415,526,10178.6120.82200.483900.99999.999999
28654,514,30490.4520.99999.451214.99999.999999
3686,508,30450.9999.99999.210006.99999.999999
28840,508,30450.9999.99999.331261.99999.999999
33656,517,10251.9999.99999.331261.99999.999999
699581,526,10001.7030.99999.432000.99999.999999
4884,526,10001.6210.P2700.435400.99999.999999
19657,517,10012.9999.99999.143008.99999.999999
47111,1,10232.9999.99999.331007.99999.999999
61731,517,10139.6110.99999.491200.99999.999999
3533,514,10138.9999.99999.141000.99999.999999
32200,514,30448.9999.99999.210006.99999.999999
5517,5,10188.6110.99999.432700.99999.999999
29771,514,30435.9999.99999.331000.99999.999999
27948,514,30439.9999.99999.210006.99999.999999
72,514,10142.6120.50500.484200.99999.999999
29998,516,30441.9999.99999.336100.99999.999999
19657,5,10012.9999.99999.143008.99999.999999
35196,3,10014.9999.99999.143008.99999.999999
35982,3,10176.9999.99999.141000.99999.999999
21703,3,10232.9999.99999.141000.99999.999999
11717,508,10262.9999.99999.141000.99999.999999
66457,3,10156.6110.99999.432000.99999.999999
30314,4,10404.6110.99999.440100.99999.999999
6017,4,10011.4570.99999.451200.99999.999999
822585,516,30492.4570.99999.431800.99999.999999
68940,4,10186.9999.99999.141000.99999.999999
1003,514,30031.7030.99999.432300.99999.999999
2625,517,10012.9999.99999.143008.99999.999999
4022,514,10242.6110.99999.432000.99999.999999
33350,509,10179.6110.99999.451211.99999.999999
33350,509,10170.6110.99999.451304.99999.999999
15636,526,10001.7210.99999.490200.99999.999999
552,514,10197.6110.99999.440100.99999.999999
44470,514,30438.9999.99999.210006.99999.999999
765581,514,10235.6110.99999.432000.99999.999999
4297,3,10186.9999.99999.141000.99999.999999
33350,526,10254.6110.99999.451303.99999.999999
27353,2,10144.9999.99999.141000.99999.999999
359587,514,30435.6110.99999.432400.99999.999999
49415,526,10153.6120.14300.483900.99999.999999
3306,514,10166.9999.99999.141000.99999.999999
570582,526,10001.8050.99999.432500.99999.999999
474590,516,30448.9999.99999.210006.99999.999999
23840,5,10192.9999.99999.141000.99999.999999
4118,526,10011.9999.99999.331250.99999.999999
47795,526,30430.6040.99999.430900.99999.999999
68937,1,10013.4570.99999.410300.99999.999999
494,516,10014.9999.99999.143003.99999.999999
88579,3,10003.4750.99999.491200.99999.999999
3533,514,10167.9999.99999.331261.99999.999999
2614,526,10184.9999.99999.141000.99999.999999
6371,516,10011.4570.99999.432000.99999.999999
2829,526,10189.6110.99999.451210.99999.999999
6131,4,20495.9999.99999.141000.99999.999999
14916,526,10148.6110.99999.410300.99999.999999
3543,515,10242.6120.16300.483900.99999.999999
11491,514,10011.9999.99999.331250.99999.999999
29454,514,30430.6150.39540.484200.99999.999999
11491,506,10011.9999.99999.331250.99999.999999
31175,506,30452.9999.99999.336104.99999.999999
3357,516,10001.6210.P4000.435400.99999.999999
15526,506,30436.9999.99999.210006.99999.999999
58914,1,10154.6110.99999.432110.99999.999999
30437,517,30452.9999.99999.210006.99999.999999
38909,526,10177.9999.99999.141000.99999.999999
38708,526,10227.6110.99999.440400.99999.999999
351581,506,30492.9999.99999.141000.99999.999999
3686,516,30431.9999.99999.210006.99999.999999
27926,506,20495.9999.99999.335600.99999.999999
3940,526,10141.6120.86500.484200.99999.999999
67424,517,30435.9999.99999.210006.99999.999999
58914,3,10006.5040.99999.432000.99999.999999
3357,515,10001.6620.B2900.483900.99999.999999
304583,509,30031.6050.99999.482100.99999.999999
15331,1,10144.9999.99999.141000.99999.999999
494,526,30491.9999.99999.331250.99999.999999
30117,514,30443.9999.99999.210006.99999.999999
30805,514,30491.4570.99999.493600.99999.999999
29018,514,30492.4450.99999.432100.99999.999999
29033,514,30491.5030.99999.491000.99999.999999
33901,4,10410.9999.99999.331261.99999.999999
72,517,10135.9999.99999.141000.99999.999999
30117,517,30446.9999.99999.210006.99999.999999
3940,526,10182.6120.23400.484200.99999.999999
3637,516,10012.9999.99999.141015.99999.999999
19166,4,10137.6110.99999.432000.99999.999999
4192,3,10174.9999.99999.141000.99999.999999
28247,514,30490.4520.99999.451100.99999.999999
3533,526,10193.9999.99999.331261.99999.999999
29270,514,30441.6120.32108.484200.99999.999999
20688,517,10194.9999.99999.141000.99999.999999
23935,515,10177.6110.99999.491200.99999.999999
33492,514,30491.9999.99999.143008.99999.999999
72,4,10261.9999.99999.141000.99999.999999
28522,526,30492.9999.99999.331011.99999.999999
31194,526,10258.6110.99999.432700.99999.999999
6714,508,10197.6110.99999.421000.99999.999999
3357,3,10011.9999.99999.214120.99999.999999
3940,526,10180.6120.50200.484200.99999.999999
24998,2,10008.4490.99999.451200.99999.999999
30805,514,30438.6110.99999.432400.99999.999999
28036,507,20495.9999.99999.331250.99999.999999
11594,514,10011.9999.99999.143013.99999.999999
10321,512,10152.9999.99999.141000.99999.999999
845583,3,10152.6110.99999.410300.99999.999999
27353,508,10265.9999.99999.141000.99999.999999
59246,526,10011.4570.99999.451200.99999.999999
56836,3,30432.6110.99999.491500.99999.999999
5562,4,10011.4570.99999.451200.99999.999999
31009,514,30430.6150.39500.430000.99999.999999
35504,526,10170.9999.99999.141000.99999.999999
18979,3,10138.9999.99999.141000.99999.999999
147,4,10137.9999.99999.322400.99999.999999
5865,526,10137.9999.99999.141000.99999.999999
3933,3,10005.4570.99999.432000.99999.999999
43948,526,20030.6210.G2100.435900.99999.999999
516,514,30437.9999.99999.210006.99999.999999
4297,526,10236.9999.99999.141000.99999.999999
3940,526,10192.6120.89300.484200.99999.999999
3357,526,10146.6120.83200.483900.99999.999999
4183,3,10154.9999.99999.141000.99999.999999
29079,506,30446.6110.99999.491800.99999.999999
2929,1,10015.4520.99999.451200.99999.999999
771,3,10410.9999.99999.141000.99999.999999
3543,526,10176.6120.41900.483900.99999.999999
28012,516,30492.4570.99999.432120.99999.999999
1190,3,10234.9999.99999.141000.99999.999999
9309,526,10015.4810.99999.432000.99999.999999
4727,2,10014.9999.99999.143001.99999.999999
1125,514,10008.4570.99999.440300.99999.999999
26821,3,10125.9999.99999.141000.99999.999999
47109,516,10258.6110.99999.440100.99999.999999
3533,514,10129.9999.99999.331261.99999.999999
44750,517,10011.4570.99999.432000.99999.999999
68937,517,10236.6110.99999.491100.99999.999999
39556,3,10004.9999.99999.331000.99999.999999
32846,512,30430.9999.99999.331001.99999.999999
5760,3,10006.5040.99999.460200.99999.999999
21971,1,10015.4570.99999.431900.99999.999999
3440,516,30492.4570.99999.432120.99999.999999
4262,1,10135.9999.99999.141000.99999.999999
27353,3,10159.9999.99999.141000.99999.999999
5470,3,10192.9999.99999.141000.99999.999999
3306,526,10192.9999.99999.141000.99999.999999
4297,3,10153.9999.99999.141000.99999.999999
476585,3,10007.9999.99999.143000.99999.999999
27985,508,30031.9999.99999.211112.99999.999999
68941,517,10159.9999.99999.141000.99999.999999
359587,506,30450.9999.99999.210006.99999.999999
4890,4,10178.9999.99999.141000.99999.999999
11491,1,10015.9999.99999.143008.99999.999999
11252,526,30439.9999.99999.210006.99999.999999
5143,514,30443.9999.99999.331261.99999.999999
19166,3,10162.6110.99999.451700.99999.999999
3357,526,10001.6210.R0100.435100.99999.999999
40962,4,20495.9999.99999.143000.99999.999999
24232,3,10196.6110.99999.440100.99999.999999
15144,514,10134.9999.99999.141000.99999.999999
4223,514,10161.9999.99999.141000.99999.999999
1009,2,10154.9999.99999.141000.99999.999999
5931,514,30450.9999.99999.210006.99999.999999
24056,3,10050.5030.99999.491600.99999.999999
4262,3,10227.9999.99999.141000.99999.999999
65891,506,10254.6110.99999.451700.99999.999999
4415,3,10177.9999.99999.141000.99999.999999
5628,507,10176.6110.99999.440100.99999.999999
4297,1,10161.9999.99999.141000.99999.999999
3533,526,10138.9999.99999.331261.99999.999999
26821,3,10226.9999.99999.141000.99999.999999
8608,3,10005.5030.99999.491600.99999.999999
6371,508,10231.6110.99999.432000.99999.999999
33350,516,10150.6110.99999.451211.99999.999999
6371,3,10137.6110.99999.432000.99999.999999
21462,514,10247.6110.99999.440300.99999.999999
59839,515,30452.9999.99999.210006.99999.999999
